Image,Lat,Long,Abslat,Nominal,Preferred,FirstPick,Length,Azimuth,PC_Azimuth,Cos_PC_Azimuth,num_mapped_boulders,LDA_relief,Min_LDA_elev,Max_LDA_elev,Max_scarp_elev,Dist_LDA_Scarp,scarp_slope,LDA_slope,phase_angle,Craters + CLF,Brain Terrain? (Y/N),Polygons?(Y/N),Scarp_cluster,Moraine_like_cluster,ASD_like_bands,ASD_num
DD2,38.525,171.915,38.525,2,4,2,1736.19,228.359,228.359,-0.664463699,263,38,-3931,-3893,-3884,1036.58,0.009,0.022,33.2,65,N,Y,N,Y,Y,3
DD3,38.448,171.841,38.448,2,5,2,1031.78,264.014,264.014,-0.104277885,250,40,-3914,-3874,-3755,736.85,0.161,0.039,33.2,65,Y,Y,N,Y,Y,2
DD4,38.47,171.877,38.47,6,6,3,1604.79,4.335,4.335,0.997139709,1099,94,-3932,-3838,-3774,541.168,0.118,0.059,33.2,65,N,Y,Y,Y,Y,3
DD5,38.441,171.899,38.441,3,4,1,711.72,111.445,111.445,-0.365600172,122,30,-3891,-3861,-3764,797.433,0.122,0.042,33.2,65,Y,Y,Y,N,Y,4
DD6,38.448,171.941,38.448,2,4,2,1354.74,326.427,326.427,0.833181108,90,17,-3938,-3921,-3919,373.721,0.005,0.013,33.2,65,Y,N,Y,Y,Y,4
DD7,38.479,171.945,38.479,2,4,2,1027.56,179.007,179.007,-0.999849692,313,5,-3939,-3934,-3928,462.741,0.013,0.005,33.2,65,Y,N,N,Y,Y,3
EE_ESP_019020_2310,50.635,278.4,50.635,10,10,6,8713.51,20.181,20.181,0.938607476,3635,737,-2681,-1944,-881,3110,0.342,0.085,47.9,3,N,Y,Y,Y,Y,6
FF_ESP_025494_2320 and PSP_008563_2320,51.777,288.932,51.777,9,11,5,11825.53,109.162,109.162,-0.328240356,2995,1489,-3444,-1955,-1955,0,N/A,0.126,47.6,21,N,Y,Y,Y,Y,10
GG_ESP_026071_2195,39.363,19.321,39.363,8,8,2,7144.75,2.598,2.598,0.998971759,656,854,-3485,-2631,-2552,723,0.109,0.12,40.3,14,Y,Y,Y,Y,Y,4
HH_PSP_007558_2135,33.275,16.965,33.275,2,5,2,6014.7,25.285,25.285,0.904197897,88,238,-3027,-2789,-1758,2465,0.418,0.04,35.3,3,Y,Y,N,Y,Y,3
