x,normx,y
36,0.004662005,20.94731394
609,0.078865579,33.09339399
607,0.078606579,2.236914525
683,0.088448588,27.48122828
1100,0.142450142,14.65246935
1126,0.145817146,44.69163229
1167,0.151126651,34.2363515
1210,0.156695157,9.974777628
1251,0.162004662,29.16536301
1265,0.163817664,1.017848326
1299,0.168220668,26.1096087
1325,0.171587672,1.853263591
1334,0.172753173,21.16756338
1320,0.170940171,6.921939965
1315,0.17029267,48.70483571
1295,0.167702668,43.80087601
1311,0.16977467,38.44743199
1294,0.167573168,23.7086329
1378,0.178451178,27.88762104
1376,0.178192178,26.20542247
1375,0.178062678,48.61284692
1357,0.175731676,11.82269104
1385,0.179357679,31.9602445
1409,0.182465682,10.51295307
1411,0.182724683,8.960238063
1489,0.192825693,10.11911492
1529,0.198005698,32.5746372
1528,0.197876198,39.63227774
1595,0.206552707,32.91048471
1618,0.20953121,46.55016289
1580,0.204610205,35.00588505
1578,0.204351204,35.97272602
1674,0.216783217,28.75841064
1702,0.22040922,29.4207195
1691,0.218984719,18.38283628
1697,0.21976172,12.19729871
1721,0.222869723,8.938795252
1825,0.236337736,43.12365926
1892,0.245014245,18.71115536
1937,0.250841751,33.1814381
2151,0.278554779,43.4793286
2204,0.285418285,47.28421716
2269,0.293835794,45.30690898
2382,0.308469308,21.98904978
2416,0.312872313,6.423090313
2481,0.321289821,43.95441086
2481,0.321289821,41.45359998
2511,0.325174825,5.928273294
2541,0.329059829,48.57265177
2616,0.338772339,11.25597605
2659,0.344340844,15.64816671
2805,0.363247863,28.80006217
2836,0.367262367,21.2767874
2890,0.374255374,37.4471864
3074,0.398083398,45.41939475
3100,0.401450401,40.29845644
3356,0.434602435,35.61629905
3458,0.447811448,35.98149951
3591,0.465034965,47.00499693
3611,0.467624968,40.5691672
3791,0.490934991,24.34079305
3826,0.495467495,24.44820158
3871,0.501295001,2.038171994
3912,0.506604507,21.07682353
3977,0.515022015,1.534859665
4123,0.533929034,17.07246973
4235,0.548433048,8.880662354
4302,0.557109557,1.95686176
4388,0.568246568,9.642993218
4524,0.585858586,13.56553045
4541,0.588060088,33.65896587
4636,0.6003626,49.34365866
4768,0.617456617,25.99834722
4766,0.617197617,25.17245802
4860,0.629370629,11.52584928
4915,0.636493136,19.58469953
4966,0.643097643,18.81257826
5049,0.653846154,16.00863969
5066,0.656047656,38.88505856
5140,0.665630666,4.280067784
2068,0.267806268,41.72985009
2388,0.309246309,30.74263445
5509,0.713416213,20.50936494
5524,0.715358715,43.21493796
5679,0.735431235,22.55475737
6014,0.778813779,7.453716882
6277,0.812872313,39.35472168
6466,0.837347837,40.25739285
6498,0.841491841,33.28772934
6669,0.863636364,8.500735779
6680,0.865060865,2.812441104
6879,0.890831391,36.69371501
6910,0.894845895,14.05854903
7709,0.998316498,5.014401639
7722,1,6.204949738
1368,0.177156177,25.9059666
1493,0.193343693,1.33122604
1492,0.193214193,4.343439456
1525,0.197487697,45.09299582
1530,0.198135198,28.90426547
2153,0.278813779,29.97562363
2509,0.324915825,38.72132186
2516,0.325822326,30.20867189
2519,0.326210826,34.57067922
2546,0.32970733,45.12326791
2833,0.366873867,26.76896903
2859,0.37024087,35.39046833
3070,0.397565398,42.78906072
3360,0.435120435,5.35008628
3335,0.431882932,35.20694423
3429,0.444055944,41.94087118
3923,0.508029008,6.024189777
4150,0.537425537,28.69096603
6415,0.830743331,37.72648637
6862,0.888629889,5.550024911
