x,y,xnorm
2804,17.44451364,0.952122241
2832,28.24116926,0.961629881
2883,30.75985218,0.978947368
2905,12.19901484,0.986417657
2945,18.9138906,1
2850,21.42963107,0.967741935
2826,20.96928059,0.95959253
2819,26.9996614,0.95721562
2826,33.33012568,0.95959253
2755,44.08763885,0.935483871
2774,43.58782711,0.941935484
2890,8.506139452,0.981324278
2770,40.70554237,0.94057725
2768,48.98832347,0.939898132
2900,44.15343121,0.984719864
2902,5.530532004,0.985398981
2874,30.83286309,0.975891341
2871,6.100372825,0.974872666
2862,4.795184582,0.971816638
2882,32.2977675,0.97860781
2830,39.02462796,0.960950764
2814,39.80672118,0.955517827
2870,20.04151529,0.974533107
2822,24.51317106,0.958234295
2818,0.883462907,0.956876061
2839,39.1324062,0.964006791
2755,36.20361748,0.935483871
2760,41.16000553,0.937181664
2738,10.76686219,0.929711375
2768,17.52694272,0.939898132
2863,33.39701186,0.972156197
2891,33.6962303,0.981663837
2845,19.54298474,0.966044143
2876,13.24317753,0.976570458
2896,19.19427749,0.98336163
2884,8.438882386,0.979286927
2840,0.321909914,0.96434635
2888,13.68980835,0.980645161
2850,16.82498427,0.967741935
2910,6.704925723,0.98811545
2880,42.09491783,0.977928693
2859,40.88573868,0.970797963
2836,32.65187973,0.962988115
2879,2.393387663,0.977589134
2913,1.963262593,0.989134126
2915,13.26121326,0.989813243
2855,10.57335562,0.969439728
2889,6.806437466,0.98098472
2826,38.11308699,0.95959253
2903,42.9774538,0.98573854
2877,5.882748764,0.976910017
2834,15.99059429,0.962308998
2778,23.9914677,0.943293718
2784,19.7114172,0.94533107
2869,38.96439632,0.974193548
2807,17.3879198,0.953140917
2852,17.86533686,0.968421053
2910,15.710083,0.98811545
2825,19.03835874,0.959252971
2788,43.92596599,0.946689304
2829,25.70129412,0.960611205
2872,3.848663521,0.975212224
2842,3.537751903,0.965025467
2890,5.084607938,0.981324278
2902,22.43955588,0.985398981
2888,9.941768334,0.980645161
2743,14.51069678,0.931409168
2820,34.1341717,0.957555178
2746,9.761433733,0.932427844
2779,5.718673841,0.943633277
2826,4.754419393,0.95959253
2878,8.905309984,0.977249576
255,9.454687039,0.086587436
290,9.076448094,0.098471986
2324,10.43874089,0.789134126
2851,10.67963862,0.968081494
2878,17.0121228,0.977249576
2884,14.66315012,0.979286927
2841,5.858647438,0.964685908
2806,40.86596442,0.952801358
2812,26.11826631,0.95483871
2840,45.82954395,0.96434635
2882,2.282799566,0.97860781
2886,2.310636866,0.979966044
2855,13.25656812,0.969439728
2852,3.54572241,0.968421053
2894,31.20653061,0.982682513
2901,7.009134921,0.985059423
2687,10.3636019,0.912393888
2753,47.17236775,0.934804754
2721,21.57521619,0.923938879
2719,14.55198722,0.923259762
2656,41.35295303,0.901867572
2454,37.57792927,0.83327674
2882,29.76078897,0.97860781
2717,36.73855451,0.922580645
2772,50.21327242,0.941256367
2828,18.42254994,0.960271647
2849,28.67323668,0.967402377
2909,2.986820776,0.987775891
2904,4.247419113,0.986078098
2861,15.6341675,0.97147708
2577,24.26581694,0.875042445
2877,20.81617776,0.976910017
2869,32.81016081,0.974193548
2937,40.6803859,0.997283531
2941,48.072485,0.998641766
2788,19.24389563,0.946689304
2790,43.38947841,0.947368421
2815,27.29718494,0.955857385
2843,1.56546599,0.965365025
2838,24.6459179,0.963667233
2815,31.50592569,0.955857385
2762,35.90855489,0.937860781
2722,10.81097284,0.924278438
2512,39.12604094,0.852971138
1913,12.56952842,0.649575552
1848,43.08090031,0.627504244
1866,14.66728383,0.633616299
1877,0.619367566,0.637351443
2932,10.56455344,0.995585739
2742,23.53619349,0.93106961
2629,18.04486157,0.892699491
2804,21.1507415,0.952122241
2805,19.48321483,0.9524618
2767,13.76912571,0.939558574
2783,20.08784385,0.944991511
2745,42.89443034,0.932088285
2671,39.14898772,0.906960951
2832,43.57149013,0.961629881
2863,24.62942649,0.972156197
2858,22.80786879,0.970458404
2844,30.50369393,0.965704584
2936,25.83022533,0.996943973
2927,7.477034982,0.993887946
2759,15.43012765,0.936842105
2854,48.24134384,0.96910017
2586,29.80872051,0.878098472
2858,3.825275141,0.970458404
2876,21.94138275,0.976570458
83,17.76916212,0.028183362
39,38.52986861,0.013242784
26,31.72576292,0.008828523
32,6.084286836,0.010865874
111,22.70532829,0.037691002
106,22.20659039,0.035993209
92,30.58223374,0.031239389
132,36.27845305,0.044821732
115,31.04304144,0.039049236
63,39.05471336,0.02139219
2841,37.61319434,0.964685908
2876,11.38387254,0.976570458
2943,22.53175449,0.999320883
2120,5.041709886,0.719864177
2135,7.723504869,0.724957555
2134,26.92145877,0.724617997
2153,13.4022209,0.73106961
2153,2.615976688,0.73106961
2134,48.2004276,0.724617997
2152,38.74516898,0.730730051
