x,xnorm,y
821,0.560027285,38.99595483
818,0.5579809,37.34187177
887,0.605047749,1.930219088
896,0.611186903,36.60775677
895,0.610504775,38.11788706
989,0.674624829,3.149260233
1021,0.696452933,27.67093353
1025,0.699181446,20.2306136
1028,0.701227831,17.47670858
1051,0.71691678,20.77300841
1054,0.718963165,19.84609785
1153,0.786493861,40.06747594
1158,0.789904502,27.14978553
1189,0.811050477,41.2700081
1194,0.814461119,48.56672751
1195,0.815143247,48.37893495
1212,0.826739427,29.85588987
1217,0.830150068,17.99776929
1276,0.870395634,35.51578719
1466,1,47.2721226
1460,0.995907231,30.26723045
1460,0.995907231,40.53818154
1460,0.995907231,39.1309165
1463,0.997953615,18.49772904
1437,0.980218281,16.20233369
1440,0.982264666,15.83018082
1442,0.983628922,27.249387
1425,0.972032742,38.72537894
1410,0.961800819,40.9732745
1399,0.954297408,47.08903798
1423,0.970668486,35.54137554
1444,0.984993179,19.70449783
1452,0.990450205,36.39166801
1458,0.994542974,43.56637164
1410,0.961800819,47.23422414
1384,0.944065484,35.99650343
1397,0.952933151,41.81185031
1416,0.965893588,48.21583669
1399,0.954297408,14.51156435
1406,0.959072306,11.94594901
1394,0.950886767,44.46474988
1394,0.950886767,15.53888955
1387,0.946111869,14.46809511
1370,0.934515689,31.81214358
1371,0.935197817,31.05331848
1368,0.933151432,37.6854576
1365,0.931105048,41.55191396
1358,0.92633015,37.33653864
1345,0.917462483,37.17338616
1324,0.90313779,6.674573372
1379,0.940654843,7.248701509
1378,0.939972715,5.262629738
1365,0.931105048,35.29461326
1367,0.932469304,43.96996583
1365,0.931105048,44.72945206
1324,0.90313779,15.13497326
1346,0.918144611,35.5618312
1306,0.890859482,26.32912312
1311,0.894270123,34.81353722
1286,0.877216917,43.5271623
1282,0.874488404,42.7166052
1271,0.866984993,16.47713922
1269,0.865620737,12.21241142
1185,0.808321965,29.33326162
1196,0.815825375,40.62919266
1113,0.759208731,26.40187104
1146,0.781718963,23.73543356
1237,0.843792633,1.790036695
1253,0.854706685,13.01528029
1158,0.789904502,7.480666341
1162,0.792633015,4.191206691
1113,0.759208731,39.78466606
1125,0.76739427,42.98892115
1125,0.76739427,44.11538163
1059,0.722373806,12.02367815
