x,y2,xnorm
4,15.49182959,0.000974184
23,28.01815631,0.005601559
26,4.736154224,0.006332197
34,22.77650929,0.008280565
31,44.82960873,0.007549927
26,42.77538526,0.006332197
34,6.896707943,0.008280565
25,6.532969393,0.006088651
46,2.011231613,0.011203117
44,30.12871876,0.010716025
46,23.60821843,0.011203117
92,18.99350008,0.022406235
91,35.4176449,0.022162689
84,9.697884184,0.020457867
83,7.347780002,0.020214321
114,28.48939543,0.027764247
110,48.98152454,0.026790063
55,18.50392089,0.013395032
79,5.963427678,0.019240136
68,15.21776361,0.01656113
68,39.87880064,0.01656113
67,44.90076021,0.016317584
80,39.27892574,0.019483682
88,0.495271099,0.021432051
80,25.99757569,0.019483682
84,33.05819994,0.020457867
57,8.799606806,0.013882124
116,14.22340489,0.02825134
130,28.68829977,0.031660984
135,20.55956076,0.032878714
84,36.77873927,0.020457867
120,42.31669867,0.029225524
127,35.80461538,0.030930346
117,0.854697842,0.028494886
134,46.7116685,0.032635168
141,35.31956987,0.03433999
155,32.39359645,0.037749635
150,24.96420399,0.036531905
147,17.07621145,0.035801266
165,24.86800129,0.040185095
162,8.64600802,0.039454457
155,2.330410985,0.037749635
177,20.84817479,0.043107647
153,28.31724815,0.037262543
147,43.14181369,0.035801266
148,7.85447978,0.036044812
166,40.35312611,0.040428641
174,2.111074135,0.042377009
156,28.99062051,0.037993181
167,35.0920357,0.040672187
170,31.6665789,0.041402825
181,8.085658102,0.044081831
176,36.22555649,0.042864101
185,45.87937009,0.045056016
189,49.20866558,0.0460302
200,38.26689832,0.048709206
205,3.190990189,0.049926936
208,3.046445853,0.050657574
210,8.448274304,0.051144666
204,0.302499391,0.04968339
185,1.378236838,0.045056016
189,4.396159956,0.0460302
199,36.18367002,0.04846566
205,32.35239453,0.049926936
205,43.06778655,0.049926936
199,44.58976116,0.04846566
125,6.725600803,0.030443254
221,10.99180238,0.053823673
205,29.6528064,0.049926936
231,21.08339495,0.056259133
225,13.83853488,0.054797857
228,29.28877047,0.055528495
254,24.69519499,0.061860692
257,38.27077599,0.06259133
258,16.23049265,0.062834876
240,38.71688442,0.058451047
144,33.40233811,0.035070628
169,18.21470045,0.041159279
239,29.80656045,0.058207501
250,34.16805425,0.060886508
245,27.17672982,0.059668777
238,4.640146305,0.057963955
245,45.14766494,0.059668777
258,48.57894011,0.062834876
253,48.24232108,0.061617146
249,32.22780113,0.060642962
246,25.48268552,0.059912323
274,4.189545597,0.066731612
273,33.71237771,0.066488066
257,35.79180784,0.06259133
266,33.0112088,0.064783244
284,2.285559158,0.069167073
293,20.97409152,0.071358987
286,38.00727222,0.069654165
292,34.08737514,0.071115441
284,5.144099292,0.069167073
279,14.51215606,0.067949342
299,34.65466123,0.072820263
277,49.81936241,0.06746225
307,13.30001327,0.074768631
300,16.66364932,0.073063809
298,12.33265072,0.072576717
310,13.35332553,0.075499269
305,7.163891147,0.074281539
311,33.28792132,0.075742815
322,29.68999091,0.078421822
322,21.3568046,0.078421822
347,48.76159223,0.084510472
338,0.930780958,0.082318558
372,34.47828498,0.090599123
369,34.44961328,0.089868485
372,38.4861734,0.090599123
377,26.98919019,0.091816853
364,19.74017213,0.088650755
368,16.8258144,0.089624939
363,35.43650781,0.088407209
387,42.96398292,0.094252314
439,29.10272435,0.106916707
