x,xnorm,y
2,0.003081664,39.47188792
2,0.003081664,39.47188792
5,0.00770416,40.2077101
16,0.024653313,47.46086402
7,0.010785824,43.79907824
13,0.020030817,45.53441112
12,0.018489985,36.90447434
11,0.016949153,34.33540928
24,0.036979969,39.24270969
36,0.055469954,50.00157571
28,0.043143297,23.8638897
21,0.032357473,22.56176474
15,0.023112481,9.287754527
12,0.018489985,16.19867253
9,0.013867488,20.86325638
26,0.040061633,13.10473903
6,0.009244992,38.05556392
7,0.010785824,15.21362942
24,0.036979969,3.334254389
37,0.057010786,5.851201966
30,0.046224961,18.98942338
40,0.061633282,31.1062752
56,0.086286595,32.69679217
32,0.049306626,39.24742003
64,0.098613251,28.21044451
59,0.090909091,27.48930607
37,0.057010786,15.63776686
36,0.055469954,11.80437449
42,0.064714946,11.76274282
34,0.05238829,19.25233291
18,0.027734977,20.72794126
19,0.029275809,24.42371022
34,0.05238829,40.68289759
48,0.073959938,36.13085417
79,0.121725732,6.729326223
78,0.1201849,42.20408971
71,0.109399076,30.49932387
98,0.151001541,41.04145032
107,0.164869029,35.430734
98,0.151001541,20.16288384
102,0.157164869,7.077040269
102,0.157164869,48.7892885
120,0.184899846,36.92972193
110,0.169491525,20.05224064
105,0.161787365,13.74849702
119,0.183359014,12.63323497
110,0.169491525,10.63612554
105,0.161787365,46.16040096
122,0.18798151,29.82694239
122,0.18798151,26.3762548
142,0.218798151,3.279738747
172,0.265023112,35.24141748
186,0.286594761,12.63688013
174,0.268104777,9.068136444
152,0.234206471,1.160381633
136,0.209553159,40.00144046
141,0.217257319,39.40590424
131,0.201848998,46.89782557
125,0.192604006,46.65978577
157,0.241910632,30.16152845
174,0.268104777,32.85947508
171,0.26348228,30.26141299
172,0.265023112,11.93279938
192,0.295839753,15.03084961
148,0.228043143,35.27106666
198,0.305084746,48.40530164
217,0.334360555,50.00058821
204,0.314329738,6.978397408
227,0.349768875,25.67396918
192,0.295839753,27.3281681
241,0.371340524,43.39975263
235,0.362095532,49.99962298
219,0.337442219,4.811539294
252,0.388289676,29.22781801
243,0.374422188,25.52309345
244,0.37596302,19.56341357
295,0.454545455,16.64573629
313,0.482280431,10.68240901
293,0.45146379,48.83748001
288,0.44375963,4.421080261
286,0.440677966,6.025132893
318,0.489984592,19.62228227
335,0.516178737,7.092312606
335,0.516178737,11.98084657
333,0.513097072,19.92918506
333,0.513097072,32.37089627
393,0.605546995,5.762041719
448,0.690292758,13.57423585
521,0.802773498,6.659245488
542,0.835130971,15.19256564
546,0.841294299,24.63305826
591,0.910631741,14.19682458
567,0.873651772,32.56038115
576,0.88751926,31.50158242
581,0.895223421,28.78407616
620,0.955315871,44.72310761
633,0.975346687,19.75346839
636,0.979969183,25.34621622
649,1,25.60037727
209,0.322033898,50.00227969
204,0.314329738,48.2852036
182,0.280431433,29.4839639
239,0.36825886,25.99704889
250,0.385208012,36.13743314
247,0.380585516,50.00067976
331,0.510015408,28.26121417
343,0.528505393,37.11981906
291,0.448382126,11.98865461
386,0.594761171,9.289242602
378,0.582434515,37.83746121
337,0.519260401,36.94757599
354,0.545454545,24.98008852
343,0.528505393,32.65074571
388,0.597842835,47.46204644
376,0.579352851,36.13479584
451,0.694915254,43.25261645
433,0.667180277,37.26960296
489,0.753466872,31.84685457
400,0.61633282,40.63906588
471,0.725731895,7.622947753
492,0.758089368,3.816406955
533,0.821263482,14.82891651
