x,xnorm,y
8,0.004987531,12.73142178
3,0.001870324,43.11825689
7,0.00436409,41.90994815
8,0.004987531,36.67644981
5,0.003117207,48.64217245
7,0.00436409,50.00086638
18,0.011221945,50.00064242
12,0.007481297,33.86465883
13,0.008104738,37.32341867
12,0.007481297,28.954488
12,0.007481297,28.954488
3,0.001870324,38.01415398
7,0.00436409,26.29377331
4,0.002493766,24.23370963
4,0.002493766,20.97944593
5,0.003117207,19.2082283
11,0.006857855,9.304019322
20,0.012468828,4.85521683
20,0.012468828,15.00656778
19,0.011845387,9.490380496
19,0.011845387,12.32735414
9,0.005610973,4.204917237
3,0.001870324,9.116370416
3,0.001870324,9.116370416
3,0.001870324,9.116370416
14,0.00872818,5.499328102
13,0.008104738,2.466873089
9,0.005610973,16.95291799
10,0.006234414,19.70849177
5,0.003117207,21.93073786
4,0.002493766,23.5619794
5,0.003117207,27.54611529
10,0.006234414,24.3445786
4,0.002493766,34.16224768
10,0.006234414,30.89588563
9,0.005610973,44.46478545
8,0.004987531,42.33613611
18,0.011221945,39.19316271
21,0.013092269,40.55789147
22,0.013715711,32.70863871
23,0.014339152,33.96566951
30,0.018703242,38.56128799
27,0.016832918,45.61288107
40,0.024937656,45.9309447
41,0.025561097,40.41417611
34,0.021197007,30.88873179
35,0.021820449,28.46481358
41,0.025561097,25.96108614
30,0.018703242,24.51768622
37,0.023067332,16.03909874
41,0.025561097,9.439140233
28,0.017456359,5.19269598
44,0.027431421,4.015206982
41,0.025561097,1.248761445
38,0.023690773,12.44270551
44,0.027431421,7.314868007
42,0.026184539,5.083761651
38,0.023690773,1.172469753
42,0.026184539,19.04710362
42,0.026184539,16.10290135
34,0.021197007,13.1284789
37,0.023067332,22.27350356
38,0.023690773,27.45055011
26,0.016209476,35.45699258
38,0.023690773,42.77820591
37,0.023067332,41.14700698
41,0.025561097,40.52243291
42,0.026184539,48.28666974
47,0.029301746,44.25871139
51,0.031795511,36.33876991
44,0.027431421,29.27764851
47,0.029301746,32.90931001
47,0.029301746,30.6881706
38,0.023690773,1.346654407
47,0.029301746,25.99306095
46,0.028678304,23.96837886
52,0.032418953,37.83909368
52,0.032418953,40.59029335
54,0.033665835,42.01626848
55,0.034289277,48.14087246
65,0.040523691,47.76039316
66,0.041147132,32.84301756
66,0.041147132,34.94897316
61,0.038029925,32.19769822
59,0.036783042,32.48944004
54,0.033665835,21.73346276
52,0.032418953,25.6253035
68,0.042394015,11.70133153
62,0.038653367,5.200425925
70,0.043640898,49.18948971
71,0.044264339,46.39382034
62,0.038653367,26.49196059
63,0.039276808,24.6281601
58,0.036159601,33.50452006
61,0.038029925,45.71686192
76,0.047381546,33.62619798
74,0.046134663,30.23936174
75,0.046758105,19.40515862
82,0.051122195,9.499237309
75,0.046758105,4.685327365
72,0.044887781,1.097692989
61,0.038029925,4.436484941
59,0.036783042,10.46324233
58,0.036159601,15.33229849
60,0.037406484,29.27446721
54,0.033665835,5.215458228
89,0.055486284,26.72060377
84,0.052369077,34.7177497
89,0.055486284,39.83518241
90,0.056109726,41.54679689
96,0.059850374,50.00092739
99,0.061720698,48.34482279
97,0.060473815,25.88911711
92,0.057356608,26.5396184
86,0.05361596,20.12937335
83,0.051745636,22.58979094
89,0.055486284,4.049847038
86,0.05361596,12.21627252
81,0.050498753,32.25863374
87,0.054239401,18.52303791
87,0.054239401,7.944832012
94,0.058603491,15.42019326
84,0.052369077,42.21176902
77,0.048004988,33.51817124
93,0.05798005,37.71754869
99,0.061720698,30.85048745
100,0.06234414,28.5617894
109,0.067955112,35.11402102
100,0.06234414,21.70662952
90,0.056109726,16.4814835
100,0.06234414,14.08645123
112,0.069825436,48.00988308
128,0.079800499,47.10039262
122,0.07605985,33.41618929
126,0.078553616,21.06738688
118,0.073566085,22.51798624
115,0.071695761,24.82768096
116,0.072319202,15.10992326
116,0.072319202,10.33861532
120,0.074812968,11.86577044
100,0.06234414,9.045195668
100,0.06234414,6.631310323
122,0.07605985,47.37084444
127,0.079177057,27.23600833
125,0.077930175,20.51425064
131,0.081670823,3.043418475
86,0.05361596,27.34652447
141,0.087905237,6.276829627
142,0.088528678,7.481312954
150,0.093516209,11.91004272
164,0.102244389,48.32072893
161,0.100374065,46.32770413
164,0.102244389,35.23921862
153,0.095386534,33.95622042
136,0.08478803,21.65314667
132,0.082294264,48.45978991
134,0.083541147,50.00027237
127,0.079177057,15.47502521
123,0.076683292,2.450148382
133,0.082917706,29.295079
134,0.083541147,35.19253013
140,0.087281796,36.30182064
147,0.091645885,15.56929402
144,0.089775561,26.24916198
157,0.097880299,50.00002696
186,0.1159601,30.64013472
204,0.127182045,26.75846704
200,0.124688279,26.44189518
192,0.119700748,13.20937214
187,0.116583541,12.85302121
192,0.119700748,8.46293035
161,0.100374065,7.522536729
176,0.109725686,26.34119587
197,0.122817955,42.28953229
203,0.126558603,46.62885889
188,0.117206983,44.328506
165,0.10286783,8.090809472
184,0.114713217,41.37256014
199,0.124064838,40.28037742
190,0.118453865,45.74956832
186,0.1159601,45.85500806
182,0.113466334,46.46804181
171,0.106608479,45.91147989
170,0.105985037,42.98123698
148,0.092269327,9.630439763
168,0.104738155,25.89310659
163,0.101620948,23.15762025
175,0.109102244,10.12473371
175,0.109102244,6.135154912
197,0.122817955,18.68723167
186,0.1159601,41.19499359
182,0.113466334,34.43358854
212,0.132169576,36.92003024
212,0.132169576,1.924664518
209,0.130299252,8.412578266
215,0.1340399,15.6508054
224,0.139650873,4.503069253
227,0.141521197,19.59149681
224,0.139650873,47.03271374
218,0.135910224,47.06666363
205,0.127805486,42.28547246
203,0.126558603,25.46467682
200,0.124688279,32.09398326
221,0.137780549,38.53227659
218,0.135910224,38.75605992
225,0.140274314,41.53394915
