x,xnorm,y
167,0.056610169,1.072018793
195,0.066101695,0.962943738
237,0.080338983,4.732756304
390,0.13220339,16.62272538
410,0.138983051,0.490169165
473,0.160338983,6.090582759
522,0.176949153,22.91673041
533,0.180677966,4.665697204
572,0.193898305,0.673742069
582,0.197288136,5.330850433
579,0.196271186,9.725193612
674,0.228474576,23.60827942
679,0.230169492,23.72249629
680,0.230508475,19.37904022
707,0.239661017,6.889860688
706,0.239322034,14.57501185
704,0.238644068,18.13494741
703,0.238305085,14.10818454
702,0.237966102,19.49754494
707,0.239661017,24.98312151
707,0.239661017,20.05887383
699,0.236949153,24.16081662
707,0.239661017,12.98445862
708,0.24,13.5936745
705,0.238983051,13.22542075
705,0.238983051,16.83636431
706,0.239322034,16.38081108
707,0.239661017,18.02768279
708,0.24,17.68159106
710,0.240677966,16.65749016
707,0.239661017,23.20067061
712,0.241355932,24.19781404
710,0.240677966,23.30287449
711,0.241016949,21.96332567
711,0.241016949,19.86749525
710,0.240677966,21.02458408
715,0.242372881,24.16357092
714,0.242033898,24.14443744
714,0.242033898,23.44522637
713,0.241694915,21.8654558
714,0.242033898,21.47754399
714,0.242033898,20.23700822
713,0.241694915,11.12902419
710,0.240677966,11.5261239
715,0.242372881,7.843688458
717,0.243050847,11.50312159
717,0.243050847,24.97775684
718,0.243389831,21.87152825
718,0.243389831,20.69289984
718,0.243389831,19.70037042
716,0.242711864,4.144074346
717,0.243050847,0.714973958
723,0.245084746,8.475281239
722,0.244745763,6.489460647
723,0.245084746,4.166984941
723,0.245084746,0.130947442
724,0.245423729,3.370519157
723,0.245084746,5.315545503
724,0.245423729,22.22724272
725,0.245762712,20.07594318
725,0.245762712,17.52306886
726,0.246101695,5.673419501
728,0.246779661,9.934769965
729,0.247118644,12.58531162
730,0.247457627,15.93222246
730,0.247457627,22.03747955
729,0.247118644,24.0893888
728,0.246779661,24.08912073
729,0.247118644,23.63097463
728,0.246779661,8.948461202
731,0.24779661,3.751869551
733,0.248474576,19.11660244
731,0.24779661,10.04344059
731,0.24779661,8.636922221
733,0.248474576,8.192325601
733,0.248474576,5.689620543
731,0.24779661,3.751869551
733,0.248474576,7.037343637
737,0.249830508,12.93037246
734,0.248813559,3.152813186
736,0.249491525,1.555216254
737,0.249830508,24.4360575
738,0.250169492,20.46178719
740,0.250847458,17.14667936
741,0.251186441,16.47348917
742,0.251525424,15.48502605
741,0.251186441,10.21889149
742,0.251525424,2.338332159
741,0.251186441,0.987479233
739,0.250508475,1.674374871
736,0.249491525,0.586709839
