x,y2,xnorm
5386,43.38786813,0.997592147
5376,49.97461569,0.995739952
5381,42.14863173,0.996666049
5393,38.23790199,0.998888683
5393,36.90060413,0.998888683
5387,35.05945816,0.997777366
5381,34.24751329,0.996666049
5381,31.25280313,0.996666049
5394,27.4068735,0.999073903
5392,26.05159818,0.998703464
5384,22.84808062,0.997221708
5383,20.17757257,0.997036488
5398,19.34089984,0.999814781
5394,10.63757368,0.999073903
5363,46.46104458,0.993332099
5367,38.51065047,0.994072976
5352,26.16467887,0.991294684
5360,23.36152983,0.99277644
5366,14.44727008,0.993887757
5362,15.32967753,0.993146879
5354,25.14964445,0.991665123
5348,21.62069651,0.990553806
5373,9.274241324,0.995184293
5364,11.45251403,0.993517318
5365,0.511703382,0.993702538
5380,6.695665044,0.99648083
5387,12.45024557,0.997777366
5392,8.716796322,0.998703464
5358,8.919745621,0.992406001
5356,8.178675378,0.992035562
5355,2.641664528,0.991850343
5363,19.63799673,0.993332099
5372,20.29648087,0.994999074
5373,22.67313,0.995184293
5375,33.85908582,0.995554732
5385,24.12739661,0.997406927
5388,20.64291075,0.997962586
5396,28.60947797,0.999444342
5399,31.65602953,1
5386,43.62271157,0.997592147
5358,24.85302806,0.992406001
5352,16.2696552,0.991294684
5393,30.30605315,0.998888683
5357,46.73051425,0.992220782
5355,48.49984426,0.991850343
5373,31.80998879,0.995184293
5349,40.60639501,0.990739026
5324,40.21803809,0.986108539
5327,42.53151353,0.986664197
5319,47.1999629,0.985182441
5310,42.95214837,0.983515466
5318,42.60956198,0.984997222
5339,48.53820075,0.988886831
5325,28.70589816,0.986293758
5323,9.002972727,0.985923319
5315,32.33909654,0.984441563
5311,43.55843596,0.983700685
5313,16.65132267,0.984071124
5313,20.24055424,0.984071124
5303,32.10042885,0.982218929
5306,27.01904817,0.982774588
5308,14.96990089,0.983145027
5316,12.54263779,0.984626783
5317,10.61957505,0.984812002
5316,14.12218937,0.984626783
5321,11.63748122,0.98555288
5322,19.87995108,0.9857381
5296,11.66362295,0.980922393
5311,0.438463186,0.983700685
5310,1.729785406,0.983515466
5305,8.473503974,0.982589368
5299,1.438374857,0.981478051
5305,4.119490792,0.982589368
5313,28.78285073,0.984071124
5289,7.588168417,0.979625857
5287,10.37833732,0.979255418
5289,16.87032409,0.979625857
5284,22.39852427,0.978699759
5297,19.02083433,0.981107613
5307,33.61396697,0.982959807
5296,40.83490271,0.980922393
5287,12.42085962,0.979255418
5310,17.06268646,0.983515466
5306,19.00464352,0.982774588
5308,10.45906939,0.983145027
5327,32.49865769,0.986664197
5328,31.17498451,0.986849417
5321,31.95811664,0.98555288
5315,13.02051278,0.984441563
5302,25.820425,0.98203371
5329,14.8496083,0.987034636
5328,1.346398486,0.986849417
5325,2.716456641,0.986293758
5327,0.787379935,0.986664197
5327,21.95677526,0.986664197
5337,49.83884497,0.988516392
5326,48.98387208,0.986478978
5319,39.40851667,0.985182441
5318,39.011342,0.984997222
5333,35.26105327,0.987775514
5334,36.21349548,0.987960733
