x,xnorm,y
1329,0.591718611,14.51092553
1326,0.590382903,14.04721509
1388,0.617987533,38.8870115
1385,0.616651825,34.12848881
1409,0.627337489,40.89829032
1472,0.655387355,45.49379521
1445,0.643365984,28.00816109
1389,0.618432769,48.12821166
1446,0.64381122,26.66465545
1460,0.650044524,12.82232529
1471,0.654942119,26.87729985
1561,0.695013357,30.55336424
1569,0.698575245,42.17262357
2009,0.894479074,6.431468889
2009,0.894479074,11.97380697
1827,0.813446126,26.84009479
1782,0.793410508,27.89565891
1778,0.791629564,22.41329787
1785,0.794746215,7.145706712
1742,0.775601069,33.53590608
1868,0.831700801,18.74240206
1902,0.846838825,48.72126971
2240,0.997328584,1.23070174
1818,0.809439003,23.33181411
1301,0.579252004,23.24117497
1329,0.591718611,26.05774685
1656,0.737310775,33.84227576
1533,0.68254675,2.375540462
1495,0.665627783,5.501141898
1230,0.547640249,13.41175685
1154,0.513802315,33.29233012
918,0.408726625,49.09632976
827,0.368210151,48.9698578
832,0.370436331,48.44129546
805,0.35841496,12.31222722
1049,0.467052538,46.17226008
1047,0.466162066,41.21417509
1050,0.467497774,40.12326598
1020,0.454140695,21.70830666
1021,0.454585931,19.79497191
1041,0.46349065,44.26820446
1092,0.486197685,30.69665894
1108,0.49332146,21.29248164
1081,0.481300089,48.97820935
1090,0.485307213,11.23861255
1085,0.483081033,3.216933582
735,0.327248442,25.8772464
630,0.280498664,28.38041329
572,0.254674978,14.05426759
960,0.427426536,46.2684364
926,0.412288513,28.23556212
917,0.408281389,28.6949964
877,0.39047195,46.38470898
817,0.363757792,43.90489399
811,0.361086376,10.04632866
767,0.341495993,29.91032184
752,0.334817453,30.889054
755,0.336153161,29.95331782
840,0.373998219,23.40928202
850,0.378450579,34.92754606
828,0.368655387,35.30163396
812,0.361531612,21.31231662
1031,0.45903829,35.97298877
1090,0.485307213,3.92453711
1076,0.479073909,3.820470438
1079,0.480409617,3.102294063
1070,0.476402493,3.028100584
1093,0.486642921,5.909401502
1078,0.479964381,31.53259336
1081,0.481300089,43.60124948
1118,0.49777382,9.778699803
1167,0.519590383,13.38084125
1202,0.535173642,16.58377652
974,0.43365984,13.28449342
1002,0.446126447,9.415249076
1003,0.446571683,2.898360794
1059,0.471504898,37.80143897
1036,0.46126447,36.25259077
905,0.402938557,18.72874592
908,0.404274265,22.83286188
790,0.35173642,25.5696239
816,0.363312556,10.49354975
926,0.412288513,17.70711761
1015,0.451914515,1.032451003
979,0.43588602,4.813454368
938,0.417631345,34.45243286
827,0.368210151,30.07861061
790,0.35173642,36.73608598
764,0.340160285,41.37499565
711,0.316562778,46.8246469
670,0.298308103,27.70994682
657,0.292520036,39.99236178
612,0.272484417,44.89593342
611,0.272039181,23.81302941
608,0.270703473,24.70507272
597,0.265805877,20.33437853
537,0.239091719,39.7991114
531,0.236420303,37.78639893
468,0.208370436,1.956059034
327,0.145592164,45.99619185
431,0.191896705,7.59615003
432,0.192341941,11.80277198
465,0.207034728,4.772490393
409,0.182101514,12.54133771
440,0.195903829,5.442920765
321,0.142920748,13.98815467
287,0.127782725,21.54309573
289,0.128673197,22.25538989
162,0.072128228,14.14255575
149,0.06634016,15.74396842
161,0.071682992,17.81635782
17,0.007569012,37.26920363
30,0.013357079,44.56500926
1447,0.644256456,0.976313563
1455,0.647818344,28.43911853
1550,0.690115761,20.46438062
1550,0.690115761,1.484670663
1502,0.668744435,14.71463338
1523,0.67809439,21.14616999
1526,0.679430098,23.44903016
1523,0.67809439,24.37326589
1520,0.676758682,6.18722574
1544,0.687444346,36.87364712
1367,0.608637578,40.31206332
1315,0.585485307,32.57460788
1288,0.573463936,20.98335802
1284,0.571682992,23.9862257
1368,0.609082814,17.01942296
1405,0.625556545,0.485712568
1683,0.749332146,4.845627382
1667,0.74220837,1.865757893
1782,0.793410508,11.00435106
1680,0.747996438,42.90384411
1696,0.755120214,32.06507334
1966,0.875333927,29.80689178
1926,0.857524488,13.56959461
1907,0.849065004,2.991980955
1904,0.847729297,11.21581845
1831,0.81522707,25.690424
1781,0.792965272,41.42189903
1915,0.852626892,2.22982616
1916,0.853072128,32.53697034
1903,0.847284061,23.81932481
1911,0.850845948,33.89780285
1851,0.82413179,40.70485322
1873,0.833926981,20.28224258
1822,0.811219947,14.36635457
1722,0.766696349,6.228295487
1857,0.826803206,1.663614187
1814,0.807658059,15.82261153
1812,0.806767587,20.04281646
1828,0.813891362,42.13867098
1379,0.61398041,14.34625668
1311,0.583704363,14.89031466
1278,0.569011576,16.28523087
1213,0.540071238,45.33193311
1159,0.516028495,34.31515213
1129,0.502671416,31.92382862
1134,0.504897596,24.90548126
1114,0.495992876,38.08600072
1020,0.454140695,3.092301836
853,0.379786287,17.79568526
684,0.304541407,37.52500644
666,0.296527159,15.30234065
689,0.306767587,32.19785718
673,0.299643811,28.85387766
671,0.298753339,19.45587631
616,0.274265361,14.1695787
597,0.265805877,4.777028546
513,0.228406055,26.30543272
613,0.272929653,34.73589671
614,0.273374889,25.78625435
607,0.270258237,29.51087647
608,0.270703473,30.05172793
715,0.318343722,32.17616459
1148,0.511130899,5.093421951
1163,0.517809439,4.461408658
1153,0.513357079,1.490899735
955,0.425200356,30.76638716
1128,0.50222618,35.62584745
1324,0.589492431,23.52306811
1299,0.578361532,19.6694272
1297,0.57747106,36.62850704
1312,0.584149599,32.96889789
1413,0.629118433,41.34383831
1437,0.639804096,40.41212116
1324,0.589492431,1.665335306
1635,0.727960819,29.79855788
1314,0.585040071,19.29312889
1272,0.56634016,12.88499322
1241,0.552537845,11.83819222
1212,0.539626002,8.6030759
1013,0.451024043,14.74663266
1004,0.447016919,9.749603587
1003,0.446571683,8.817743503
949,0.42252894,39.33137353
959,0.4269813,42.61344358
868,0.386464826,24.95664119
862,0.383793411,7.668563756
851,0.378895815,13.61096822
829,0.369100623,40.37353239
1094,0.487088157,2.5573042
1105,0.491985752,37.72881137
1091,0.485752449,44.60635317
948,0.422083704,4.181289093
893,0.397595726,49.62578453
897,0.39937667,40.94959249
919,0.409171861,44.83820877
930,0.414069457,32.2524391
