x,xnorm,y
23,0.017397882,3.150829379
17,0.012859304,25.88710067
8,0.006051437,36.49743188
4,0.003025719,29.78805522
4,0.003025719,29.78805522
11,0.008320726,38.24000642
29,0.02193646,37.50696925
70,0.052950076,5.13903957
6,0.004538578,7.619316912
51,0.038577912,42.21771374
49,0.037065053,21.42971974
174,0.131618759,25.82163813
220,0.166414523,37.73756124
250,0.189107413,12.77520529
287,0.21709531,7.514824961
291,0.220121029,20.68074676
303,0.229198185,43.75398767
352,0.266263238,7.984996553
330,0.249621785,6.930828182
321,0.242813918,0.746424196
376,0.284417549,8.107819589
382,0.288956127,31.70784865
394,0.298033283,26.70345053
419,0.316944024,17.04736226
413,0.312405446,43.41076959
428,0.323751891,43.72139516
425,0.321482602,45.82983988
453,0.342662632,14.79277667
520,0.393343419,12.0098853
523,0.395612708,44.89332796
680,0.514372163,43.07386317
676,0.511346445,0.398670437
889,0.672465961,50.0001506
914,0.691376702,45.26132784
932,0.704992436,12.97202319
1003,0.758698941,43.79205686
1005,0.7602118,40.52451201
1017,0.769288956,33.85977711
1034,0.78214826,33.75114488
1049,0.793494705,23.21786372
1096,0.829046899,24.05884121
1200,0.907715582,12.30523292
1197,0.905446293,37.16518789
1213,0.917549168,0.300810203
1201,0.908472012,29.40998512
1186,0.897125567,4.302988653
1127,0.852496218,12.60423061
1187,0.897881997,29.83799891
1244,0.940998487,22.73311516
1322,1,30.55634172
1287,0.973524962,11.47570779
40,0.030257186,6.225047913
78,0.059001513,5.716896985
68,0.051437216,42.67692145
24,0.018154312,20.31734909
119,0.090015129,29.9907219
173,0.13086233,45.03057368
220,0.166414523,32.70462626
192,0.145234493,2.288170302
276,0.208774584,41.66748634
683,0.516641452,11.80173664
919,0.69515885,20.9126217
1011,0.764750378,5.657030011
939,0.710287443,31.50710701
1139,0.861573374,42.76322293
1175,0.888804841,37.9877958
1307,0.988653555,7.550358083
1319,0.997730711,8.101090481
7,0.005295008,19.9264185
143,0.10816944,23.48169779
139,0.105143722,27.88447181
314,0.237518911,6.849683219
315,0.23827534,3.271939958
337,0.254916793,37.5611457
416,0.314674735,15.68140657
432,0.32677761,36.15264269
464,0.350983359,20.86226335
534,0.403933434,29.86126586
563,0.425869894,17.92685359
565,0.427382753,16.64834972
684,0.517397882,3.938538897
831,0.628593041,0.970283785
887,0.670953101,37.2068248
1219,0.922087746,17.87245256
1225,0.926626324,46.51331918
1222,0.924357035,7.549232006
1287,0.973524962,1.722759131
1282,0.969742814,7.997307863
1287,0.973524962,47.96833733
1304,0.986384266,45.40724268
