x,y2,xnorm
30,27.12727732,0.001837335
35,8.487176226,0.002143557
43,4.253289392,0.002633513
33,2.31674346,0.002021068
369,15.65741487,0.022599216
437,36.63674812,0.026763841
452,37.30345621,0.027682509
488,3.395038968,0.02988731
726,28.84177152,0.044463498
734,10.67466415,0.044953454
760,0.191279495,0.046545811
733,22.72832386,0.04489221
786,20.69881289,0.048138168
789,20.61242402,0.048321901
795,7.699523637,0.048689368
818,1.594189843,0.050097991
812,2.132880069,0.049730524
887,2.3254728,0.054323861
891,37.77182543,0.054568839
918,41.54985613,0.05622244
1001,9.011605066,0.061305732
1003,14.15255167,0.061428221
980,17.74679201,0.060019598
1097,9.688969554,0.067185203
1141,16.31450773,0.069879961
1203,3.358977864,0.073677119
1306,40.30509415,0.079985301
1584,28.49280665,0.097011269
2852,2.320394905,0.17466928
2951,46.61959246,0.180732484
3025,49.82558292,0.185264576
3063,47.75296393,0.187591867
3530,17.69309005,0.216193043
3839,46.0352663,0.235117589
4053,30.44151895,0.24822391
4165,41.98360829,0.255083293
4168,47.35768298,0.255267026
4323,37.30479134,0.264759922
4408,38.18327949,0.269965703
4501,10.01199631,0.27566144
4741,34.85638829,0.290360118
5480,30.90880753,0.335619794
6240,36.47456426,0.382165605
6240,19.35374872,0.382165605
6638,0.39529928,0.406540911
6872,3.279529528,0.420872122
6994,17.04754757,0.428343949
7176,7.570578067,0.439490446
7162,1.836366518,0.438633023
7232,11.10895864,0.442920137
7220,10.14691714,0.442185203
7255,12.40602213,0.44432876
7270,6.433694085,0.445247428
7273,3.888832295,0.445431161
7273,46.46551336,0.445431161
7273,37.26870389,0.445431161
7282,30.40712902,0.445982362
7320,10.89224289,0.448309652
7317,44.37289667,0.448125919
7347,1.982503136,0.449963253
7446,0.364627521,0.456026458
7487,8.334835315,0.458537482
7484,0.097357426,0.458353748
7477,29.96171495,0.457925037
7490,33.7842615,0.458721215
7482,31.73575067,0.458231259
7504,22.23661925,0.459578638
7498,42.3745307,0.459211171
7559,5.549673582,0.462947085
7632,43.24178295,0.467417932
7594,10.11475166,0.465090642
7928,39.39281833,0.485546301
8123,17.35470774,0.497488976
8132,17.23312979,0.498040176
8182,12.23844161,0.501102401
8256,49.41090704,0.505634493
8266,44.37618179,0.506246938
8281,32.35886723,0.507165605
8286,47.35750923,0.507471828
8382,26.60891936,0.513351298
8518,36.52560911,0.521680549
8841,7.935062681,0.541462518
8893,31.37443193,0.544647232
9032,14.41693731,0.553160216
9014,30.08658281,0.552057815
9094,12.74452194,0.556957374
9127,14.49610471,0.558978442
9256,4.093628359,0.566878981
9246,33.61487179,0.566266536
9391,40.16663979,0.575146987
9587,37.12227939,0.587150906
9595,12.37765862,0.587640862
9612,43.88718228,0.588682019
9607,37.63608791,0.588375796
9627,46.0540732,0.589600686
9622,28.18992442,0.589294463
9659,24.85369165,0.59156051
9677,26.44336558,0.59266291
9699,27.73836092,0.594010289
9718,33.82242702,0.595173934
9769,37.18125462,0.598297403
10122,42.60801457,0.619916707
10202,14.19214238,0.624816267
10301,45.409325,0.630879471
10291,39.96957979,0.630267026
10357,45.40658011,0.634309162
10361,47.52915238,0.63455414
10607,16.00051398,0.649620284
10649,14.00241055,0.652192553
10754,12.3840479,0.658623224
11021,5.266880211,0.674975502
11054,37.88154252,0.67699657
11067,37.95967034,0.677792749
11284,48.75272959,0.691082803
11278,39.2412184,0.690715336
11380,45.59231628,0.696962273
11645,15.24928822,0.713192063
22,12.30848508,0.001347379
